Gene	B cells	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD16	Monocytes CD14	DC	pDC	NK	Plasma
TTC38	1.48731287984798	0.867479742364118	1.74312671981968	1.2683100921554	3.4392812330097	54.9143483186849	1.40101728755431	0.5619382511571	3.13876242412476	2.64249024090312	4.79769249754942	4.48697812589405	190.448629630501	12.8128706490718
VIM	384.317574759578	669.912657597936	1073.05820717403	593.852272231654	879.08968137898	589.435563406047	814.655535536368	653.162531999988	1848.77262839114	1003.09953436388	2070.3040275863	1033.2077369398	242.15561824865	1318.53718378811
XCL1	0.571176458827513	0	0.637952000063876	0.908486585017203	34.2828694256373	28.4356754985998	0.507717993385837	0.902786691843848	0.312268166548247	0	0	0	132.776238336456	0
YPEL1	5.75775999541557	1.13527174826443	1.68847517769746	0.641796894361751	3.28460070739631	8.46454635860855	1.13923333386639	0.909911681868195	0.991099328491404	0.853667125005697	2.1585621799747	6.1533904937326	24.277324115145	2.88592703506826
CCL5	77.6960121909256	143.282566848882	220.670611154664	347.737814379348	5550.33036863671	7237.33886433105	156.719540701203	205.375739822777	60.0750461029391	73.8033077837786	106.369329704212	184.324982379678	4323.18066574248	42.8332751230132
CD27	73.4235003695069	285.444049839136	233.244435035093	356.106039308428	271.553502692339	248.8076867613	622.366300298405	573.313899423851	6.52306510947864	15.098637419219	14.9297345496904	7.69010075596369	18.2864566496461	1086.81405896725
CD38	14.9066113956868	6.28361288258403	4.09956401004209	1.47229622233207	1.23227270161954	8.30280166998019	2.86781306474534	4.27986264629102	5.21985814764483	6.36809201108877	22.0690931922803	34.4547676914555	148.883036802495	358.581608479687
CD3D	84.4447938372416	1787.36309794601	1999.2936277964	1857.12647185155	1953.2374122562	3205.92720036797	2098.60601775269	1937.48763353869	54.112833637516	93.3628566700735	72.9222498118659	114.696616008089	173.178118762281	54.1791705379378
CD3G	8.25707471070254	146.940276142969	153.693784031105	137.830075538094	175.084304217436	257.072974637526	128.664905455356	120.198565915701	5.50257007976993	6.68008699789688	7.85475407767263	16.8719316840261	17.3862695621806	8.66146056226677
CD6	4.42888155992118	36.806495949622	38.1404157481122	27.3568675866488	30.6491663285843	28.4550597561553	63.5654806877049	66.6219981921548	1.35454748826935	2.16448981436137	2.23217470228565	0	17.9872979416806	4.23890802282111
GPR65	4.75171178639647	3.69104985748594	4.62390706753847	3.59415451791102	5.74844268418627	9.43196065146353	2.10305988393682	2.83485756878245	5.67462773497513	10.1164263795998	4.81634414322286	5.02760434972976	21.1382240337011	1.4954760950296
GZMM	13.3186867499496	192.198279632719	146.109152720133	344.559501166599	454.388940512808	978.524062736079	262.298274314148	335.312905799569	13.3719756981632	15.3923646685641	14.9312696583922	17.5864963870539	1325.44923039574	11.8821628527464
NCR3	79.3603321965554	12.928155629383	24.8672307883912	27.8221832393963	88.199863074832	63.9556675970511	40.8377869743804	22.0897412593472	2.44148466297827	4.21116694762022	2.03002831143697	6.95859112725678	414.14036432957	0
RPL10A	6024.16754013845	5906.55914145635	5420.14942365489	6447.6781750697	5535.31247255263	4571.20732740424	5767.9807987135	6570.64364556206	3202.99567994796	2701.20237333977	4142.97653240652	5582.80348214394	3463.71492567684	4897.09980722344
